key,term_en,translation,options,desc_en,desc_vi,chapter,status,notes
customers,customers,khách hàng,khách hàng,"people the business will be serving, including potential customers from one or more market segments","những người mà doanh nghiệp sẽ phục vụ, bao gồm cả các khách hàng tiềm năng từ một hoặc nhiều phân khúc thị trường",Chương 5,approved,Source: glossary.md — Chương 5
demand,demand,nhu cầu,nhu cầu,"need or desire for the outputs, the product or services","nhu cầu hoặc mong muốn đối với các đầu ra, tức là sản phẩm hoặc dịch vụ",Chương 5,approved,Source: glossary.md — Chương 5
demographics,demographics,nhân khẩu học,nhân khẩu học,"statistical factors of a population or group, such as information about age, gender, income, race, or ethnicity","các yếu tố thống kê của một dân số hoặc nhóm, chẳng hạn như thông tin về độ tuổi, giới tính, thu nhập, chủng tộc hoặc sắc tộc",Chương 5,approved,Source: glossary.md — Chương 5
entrepreneurial opportunity,entrepreneurial opportunity,cơ hội khởi nghiệp,cơ hội khởi nghiệp,"point at which identifiable consumer demand meets the feasibility of satisfying the requested product or service and meets the following conditions: significant market demand, significant market structure and size, significant margins, and resources to support the venture’s success","thời điểm mà nhu cầu của người tiêu dùng có thể xác định được gặp với tính khả thi của việc đáp ứng sản phẩm hoặc dịch vụ được yêu cầu, đồng thời đáp ứng các điều kiện sau: nhu cầu thị trường đáng kể, cấu trúc và quy mô thị trường đáng kể, biên lợi nhuận đáng kể và nguồn lực để hỗ trợ sự thành công của doanh nghiệp",Chương 5,approved,Source: glossary.md — Chương 5
financial viability,financial viability,khả thi tài chính,khả thi tài chính,long-term financial sustainability of an organization to fulfill its mission,khả năng duy trì tài chính trong dài hạn của một tổ chức nhằm thực hiện sứ mệnh của mình,Chương 5,approved,Source: glossary.md — Chương 5
gig economy,gig economy,nền kinh tế việc làm tự do,nền kinh tế việc làm tự do,market system in which independent contractors fill a variety of positions,hệ thống thị trường trong đó các nhà thầu độc lập đảm nhận nhiều vị trí khác nhau,Chương 5,approved,Source: glossary.md — Chương 5
infrastructure,infrastructure,nguồn lực vận hành,nguồn lực vận hành,"all resources the entrepreneur will need in order to launch and sustain a business venture offering (actual product or service, its value proposition, and how you will reach and communicate with your target customers)","toàn bộ các nguồn lực mà doanh nhân cần để khởi động và duy trì một doanh nghiệp, bao gồm sản phẩm hoặc dịch vụ thực tế, giá trị đề xuất của nó và cách doanh nghiệp tiếp cận và giao tiếp với khách hàng mục tiêu",Chương 5,approved,Source: glossary.md — Chương 5
opportunity screening,opportunity screening,sàng lọc cơ hội,sàng lọc cơ hội,"process used to evaluate innovative product ideas, strategies, and marketing trends, focusing on financial resources, skills of the entrepreneurial team, and competition","quá trình được sử dụng để đánh giá các ý tưởng sản phẩm đổi mới, chiến lược và xu hướng marketing, tập trung vào nguồn lực tài chính, kỹ năng của đội ngũ khởi nghiệp và sự cạnh tranh",Chương 5,approved,Source: glossary.md — Chương 5
primary research,primary research,nghiên cứu dữ liệu sơ cấp,nghiên cứu dữ liệu sơ cấp,research that involves gathering new data,nghiên cứu bao gồm việc thu thập dữ liệu mới,"Chương 5, Chương 8",approved,"Source: glossary.md — Chương 5, Chương 8"
secondary research,secondary research,nghiên cứu dữ liệu thứ cấp,nghiên cứu dữ liệu thứ cấp,research that uses existing data,nghiên cứu sử dụng dữ liệu đã có sẵn,Chương 5,approved,Source: glossary.md — Chương 5
shared economy,shared economy,nền kinh tế chia sẻ,nền kinh tế chia sẻ,"economy in which some assets are not in use, which may present an entrepreneurial opportunity","nền kinh tế trong đó một số tài sản không được sử dụng, điều này có thể tạo ra cơ hội khởi nghiệp",Chương 5,approved,Source: glossary.md — Chương 5
supply,supply,cung,cung,amount of a product or service produced,lượng sản phẩm hoặc dịch vụ được sản xuất,Chương 5,approved,Source: glossary.md — Chương 5
swot analysis,SWOT analysis,phân tích SWOT,phân tích SWOT,"strategic analytical tool used to help a potential venture or existing company identify its strengths, weaknesses, opportunities, and threats related to business competition","công cụ phân tích chiến lược được sử dụng để giúp một doanh nghiệp tiềm năng hoặc hiện có xác định các điểm mạnh, điểm yếu, cơ hội và thách thức liên quan đến cạnh tranh kinh doanh","Chương 5, Chương 11",approved,"Source: glossary.md — Chương 5, Chương 11"
unique selling proposition,unique selling proposition,đề xuất bán hàng độc nhất (unique selling proposition USP),đề xuất bán hàng độc nhất (unique selling proposition USP),marketer’s rationale as to why a product or service is different/better than the competitor’s products,lập luận của nhà tiếp thị về lý do tại sao sản phẩm hoặc dịch vụ khác biệt hoặc tốt hơn so với sản phẩm của đối thủ cạnh tranh,Chương 5,approved,Source: glossary.md — Chương 5
market validation,market validation,kiểm chứng thị trường,kiểm chứng thị trường,the process of testing whether a product or business idea meets real market demand and is accepted by target customers.,quá trình kiểm tra xem một sản phẩm hoặc ý tưởng kinh doanh có đáp ứng nhu cầu thực tế của thị trường và được khách hàng mục tiêu chấp nhận hay không.,Chương 5 (bổ sung),approved,Source: glossary.md — Chương 5 (bổ sung)
demand estimation,demand estimation,ước lượng nhu cầu,ước lượng nhu cầu,the process of forecasting the quantity of a product or service that consumers are willing to purchase over a specific period.,quá trình dự báo lượng sản phẩm hoặc dịch vụ mà người tiêu dùng sẵn sàng mua trong một khoảng thời gian nhất định.,Chương 5 (bổ sung),approved,Source: glossary.md — Chương 5 (bổ sung)
customer insight,customer insight,hiểu biết sâu về khách hàng,hiểu biết sâu về khách hàng,"a deep understanding of customer behaviors, needs, motivations, and pain points that informs business decisions.","sự hiểu biết sâu sắc về hành vi, nhu cầu, động cơ và vấn đề của khách hàng, làm cơ sở cho các quyết định kinh doanh.",Chương 5 (bổ sung),approved,Source: glossary.md — Chương 5 (bổ sung)
opportunity evaluation,opportunity evaluation,đánh giá cơ hội kinh doanh,đánh giá cơ hội kinh doanh,"the process of assessing the potential of an opportunity based on factors such as market demand, feasibility, competition, and profitability.","quá trình phân tích và đánh giá tiềm năng của một cơ hội dựa trên các yếu tố như nhu cầu thị trường, tính khả thi, mức độ cạnh tranh và khả năng sinh lợi.",Chương 5 (bổ sung),approved,Source: glossary.md — Chương 5 (bổ sung)
adaptive model,adaptive model,mô hình thích ứng,mô hình thích ứng,method of entrepreneurial problem solving that seeks solutions in ways that are tested and known to be effective,phương pháp giải quyết vấn đề trong khởi nghiệp tìm kiếm các giải pháp theo những cách đã được kiểm chứng và được biết là hiệu quả,Chương 6,approved,Source: glossary.md — Chương 6
assessment,assessment,giai đoạn đánh giá,giai đoạn đánh giá,lean problem-solving process phase in which the entrepreneur experiments and analyzes the potential process and its capabilities,"giai đoạn trong quy trình giải quyết vấn đề tinh gọn, trong đó doanh nhân tiến hành thử nghiệm và phân tích quy trình tiềm năng cùng các khả năng của nó",Chương 6,approved,Source: glossary.md — Chương 6
clarify,clarify,nhận diện khoảng trống,nhận diện khoảng trống,"first step of the creative process, which involves recognizing the existence of a gap between the current state and a desired state","bước đầu tiên của quá trình sáng tạo, bao gồm việc nhận diện khoảng cách giữa trạng thái hiện tại và trạng thái mong muốn.",Chương 6,approved,Source: glossary.md — Chương 6
communication skills,communication skills,kỹ năng giao tiếp,kỹ năng giao tiếp,skills entrepreneurs use to pool resources for the purposes of investigating solutions leading to innovative problem solving and competitive advantage,"các kỹ năng mà doanh nhân sử dụng để huy động và kết nối nguồn lực nhằm mục đích tìm kiếm giải pháp, từ đó dẫn đến việc giải quyết vấn đề mang tính đổi mới và tạo lợi thế cạnh tranh",Chương 6,approved,Source: glossary.md — Chương 6
critical thinking,critical thinking,tư duy phản biện,tư duy phản biện,complex analysis of a problem or issue with the goal of solving the problem or making a decision,việc phân tích phức tạp một vấn đề hoặc một tình huống với mục tiêu giải quyết vấn đề hoặc đưa ra quyết định,Chương 6,approved,Source: glossary.md — Chương 6
crowdsourcing,crowdsourcing,huy động ý tưởng cộng đồng,huy động ý tưởng cộng đồng,teams of amateurs and non-experts working together to form a solution to a problem,các nhóm gồm những người nghiệp dư và không phải chuyên gia cùng làm việc để tạo ra giải pháp cho một vấn đề,Chương 6,approved,Source: glossary.md — Chương 6
data analysis,data analysis,phân tích dữ liệu,phân tích dữ liệu,process of analyzing data and modeling the data into a structure that leads to innovative conclusions,quá trình phân tích dữ liệu và mô hình hóa dữ liệu thành một cấu trúc dẫn đến các kết luận mang tính đổi mới,Chương 6,approved,Source: glossary.md — Chương 6
decisiveness,decisiveness,tính quyết đoán,tính quyết đoán,"ability to make a quick, effective decision, not letting too much time go by in the process","khả năng đưa ra quyết định nhanh chóng và hiệu quả, không để quá nhiều thời gian trôi qua trong quá trình ra quyết định",Chương 6,approved,Source: glossary.md — Chương 6
develop,develop,phát triển,phát triển,stage in which the entrepreneur takes the list of ideas generated and tests each solution for feasibility,giai đoạn trong đó doanh nhân lấy danh sách các ý tưởng đã tạo ra và kiểm tra từng giải pháp về tính khả thi,Chương 6,approved,Source: glossary.md — Chương 6
entrepreneurial problem solving,entrepreneurial problem solving,giải quyết vấn đề khởi nghiệp,giải quyết vấn đề khởi nghiệp,"process of using innovation and creative solutions to close the opportunity gap by resolving complex societal, business, or technological problems","quá trình sử dụng tư duy sáng tạo và đổi mới để giải quyết các vấn đề phức tạp trong kinh doanh, xã hội hoặc công nghệ nhằm khai thác cơ hội.",Chương 6,approved,Source: glossary.md — Chương 6
evaluate,evaluate,đánh giá,đánh giá,stage in which the final solution is assessed,giai đoạn trong đó giải pháp cuối cùng được đánh giá,Chương 6,approved,Source: glossary.md — Chương 6
evaluation,evaluation,đánh giá kết quả,đánh giá kết quả,lean problem-solving process phase in which behaviors are analyzed to assess success,"giai đoạn trong quy trình giải quyết vấn đề tinh gọn, trong đó các hành vi được phân tích để đánh giá mức độ thành công",Chương 6,approved,Source: glossary.md — Chương 6
external environment,external environment,môi trường bên ngoài,môi trường bên ngoài,"outside the enterprise and encompasses customers, industry trends, and competition","môi trường bên ngoài doanh nghiệp, bao gồm khách hàng, xu hướng ngành và đối thủ cạnh tranh",Chương 6,approved,Source: glossary.md — Chương 6
hackathon,hackathon,sự kiện lập trình,sự kiện lập trình,"event, usually hosted by a tech company or organization, which brings together programmers and workers with other degrees of specialization within the company, community, or organization to collaborate on a project over a short period of time","sự kiện, thường do một công ty hoặc tổ chức công nghệ tổ chức, quy tụ các lập trình viên và những người có chuyên môn khác nhau trong công ty, cộng đồng hoặc tổ chức để cùng hợp tác thực hiện một dự án trong một khoảng thời gian ngắn",Chương 6,approved,Source: glossary.md — Chương 6
human-centered design,human-centered design,thiết kế lấy con người làm trung tâm,thiết kế lấy con người làm trung tâm,focuses on people during design and development,phương pháp tập trung vào con người trong quá trình thiết kế và phát triển,Chương 6,approved,Source: glossary.md — Chương 6
ideate,ideate,hình thành ý tưởng,hình thành ý tưởng,stage of the creative problem-solving process leading to the detailing and formation of idea generation by the entrepreneur,giai đoạn trong quá trình giải quyết vấn đề sáng tạo dẫn đến việc chi tiết hóa và hình thành các ý tưởng do doanh nhân tạo ra,Chương 6,approved,Source: glossary.md — Chương 6
implement,implement,triển khai,triển khai,means to enact the plan and test for success,việc thực hiện kế hoạch và kiểm tra mức độ thành công,Chương 6,approved,Source: glossary.md — Chương 6
innovative model,innovative model,mô hình đổi mới sáng tạo,mô hình đổi mới sáng tạo,method of entrepreneurial problem solving that uses techniques unknown to the market and that bring competitive advantage to an organization,phương pháp giải quyết vấn đề trong khởi nghiệp sử dụng các kỹ thuật chưa được biết đến trên thị trường và mang lại lợi thế cạnh tranh cho tổ chức,Chương 6,approved,Source: glossary.md — Chương 6
internal environment,internal environment,môi trường bên trong,môi trường bên trong,"comprises the factors inside the enterprise, such as employees, and internal practices and processes","bao gồm các yếu tố bên trong doanh nghiệp như nhân viên và các hoạt động, quy trình nội bộ",Chương 6,approved,Source: glossary.md — Chương 6
lean process,lean process,quy trình tinh gọn,quy trình tinh gọn,systematic process for the maximizing of continuous improvement and the minimization of surplus or unused material in the production of a process,quy trình có hệ thống nhằm tối đa hóa cải tiến liên tục và giảm thiểu phần dư thừa hoặc vật liệu không được sử dụng trong quá trình sản xuất,Chương 6,approved,Source: glossary.md — Chương 6
need awareness,need awareness,nhận thức nhu cầu,nhận thức nhu cầu,occurs when the entrepreneur notes a gap between societal or customer needs and actual circumstances,xảy ra khi doanh nhân nhận thấy khoảng cách giữa nhu cầu của xã hội hoặc khách hàng và thực tế hiện tại,Chương 6,approved,Source: glossary.md — Chương 6
observation,observation,quan sát,quan sát,lean problem-solving process phase in which the entrepreneur studies the challenge and notes all facets of the challenge requiring solution,"giai đoạn trong quy trình giải quyết vấn đề tinh gọn, trong đó doanh nhân nghiên cứu thách thức và ghi nhận tất cả các khía cạnh của vấn đề cần được giải quyết",Chương 6,approved,Source: glossary.md — Chương 6
petitioner problem solvers,petitioner problem solvers,người giải quyết vấn đề bằng tham vấn,người giải quyết vấn đề bằng tham vấn,problem solvers who see a problem and ask others for solution ideas,những người giải quyết vấn đề nhận thấy một vấn đề và tìm kiếm ý tưởng giải pháp từ người khác,Chương 6,approved,Source: glossary.md — Chương 6
resourcefulness,resourcefulness,tính tháo vát,tính tháo vát,ability to discover clever solutions to obstacles,khả năng tìm ra các giải pháp sáng tạo và hiệu quả cho các trở ngại,Chương 6,approved,Source: glossary.md — Chương 6
self-regulating problem solvers,self-regulating problem solvers,người tự chủ giải quyết vấn đề,người tự chủ giải quyết vấn đề,"problem solvers who are autonomous and work on their own, without external influence; they have the ability to see a problem, immediately visualize a possible solution to the problem, and seek to devise a solution","những người giải quyết vấn đề có tính tự chủ và làm việc độc lập, không bị ảnh hưởng từ bên ngoài; họ có khả năng nhận ra vấn đề, hình dung ngay một giải pháp khả thi và tìm cách xây dựng giải pháp đó",Chương 6,approved,Source: glossary.md — Chương 6
storyboarding,storyboarding,bảng phân cảnh,bảng phân cảnh,process of presenting an idea in a step-by-step graphic format,quá trình trình bày một ý tưởng dưới dạng hình ảnh theo từng bước,Chương 6,approved,Source: glossary.md — Chương 6
team creativity,team creativity,sáng tạo nhóm,sáng tạo nhóm,process of a team creating an unexpected solution for an issue or challenge,quá trình một nhóm tạo ra một giải pháp bất ngờ cho một vấn đề hoặc thách thức,Chương 6,approved,Source: glossary.md — Chương 6
theorist problem solvers,theorist problem solvers,người giải quyết vấn đề theo lý thuyết,người giải quyết vấn đề theo lý thuyết,problem solvers who see a problem and begin to consider a path toward solving the problem using a theory,những người giải quyết vấn đề nhận thấy một vấn đề và bắt đầu xem xét một hướng giải quyết dựa trên lý thuyết,Chương 6,approved,Source: glossary.md — Chương 6
whiteboarding,whiteboarding,phác thảo bằng bảng trắng,phác thảo bằng bảng trắng,type of graphing that permits the entrepreneur to plot each step in a process to build comprehension and detailing of the process,một dạng sơ đồ hóa cho phép doanh nhân vạch ra từng bước trong một quy trình nhằm nâng cao sự hiểu biết và chi tiết hóa quy trình,Chương 6,approved,Source: glossary.md — Chương 6
problem framing,problem framing,định nghĩa vấn đề,định nghĩa vấn đề,The process of defining and structuring a problem in a way that guides analysis and solution development.,Quá trình xác định và cấu trúc hóa vấn đề theo một cách tiếp cận giúp định hướng việc phân tích và phát triển giải pháp.,Chương 6 (bổ sung),approved,Source: glossary.md — Chương 6 (bổ sung)
solution design,solution design,thiết kế giải pháp,thiết kế giải pháp,The process of creating and developing solutions to address a defined problem.,Quá trình xây dựng và phát triển các giải pháp nhằm giải quyết một vấn đề đã được xác định.,Chương 6 (bổ sung),approved,Source: glossary.md — Chương 6 (bổ sung)
hypothesis testing,hypothesis testing,kiểm định giả thuyết,kiểm định giả thuyết,The process of testing assumptions or predictions through experiments or data analysis.,Quá trình kiểm tra các giả định hoặc dự đoán thông qua thử nghiệm hoặc phân tích dữ liệu.,Chương 6 (bổ sung),approved,Source: glossary.md — Chương 6 (bổ sung)
analytical thinking,analytical thinking,tư duy phân tích,tư duy phân tích,"The ability to break down complex information into smaller parts to understand, evaluate, and solve problems.","Khả năng phân tách thông tin phức tạp thành các phần nhỏ hơn để hiểu, đánh giá và giải quyết vấn đề.",Chương 6 (bổ sung),approved,Source: glossary.md — Chương 6 (bổ sung)
ask,ask,mức gọi vốn,mức gọi vốn,specific amount of money or type of assistance requested in a pitch,số tiền cụ thể hoặc loại hỗ trợ cụ thể được yêu cầu trong một bài pitch,Chương 7,approved,Source: glossary.md — Chương 7
corporate narrative,corporate narrative,câu chuyện khởi nghiệp,câu chuyện khởi nghiệp,"story about how a successful company grew from something small into something broad and powerful, serving thousands or even millions of people; it may have marketing purposes, and it may serve as an inspirational story for leaders and employees","câu chuyện về cách một công ty thành công phát triển từ quy mô nhỏ trở thành một tổ chức lớn và có ảnh hưởng, phục vụ hàng nghìn hoặc thậm chí hàng triệu người; câu chuyện này có thể phục vụ mục đích marketing và cũng có thể đóng vai trò như một câu chuyện truyền cảm hứng cho lãnh đạo và nhân viên",Chương 7,approved,Source: glossary.md — Chương 7
elevator pitch,elevator pitch,bài trình bày ngắn,bài trình bày ngắn,"abbreviated pitch, a memorized talk that can get you into the door to put your full pitch deck on display","một bài pitch rút gọn, được ghi nhớ trước, có thể giúp bạn mở ra cơ hội trình bày đầy đủ bộ slide pitch deck của mình",Chương 7,approved,Source: glossary.md — Chương 7
entrepreneurial contest,entrepreneurial contest,cuộc thi khởi nghiệp,cuộc thi khởi nghiệp,"any entrepreneurial competition other than a pitch competition; contests may entail submitting business models, long-form prospectuses, or forms tailored to contest specifications","bất kỳ cuộc thi khởi nghiệp nào ngoài cuộc thi pitch; các cuộc thi này có thể yêu cầu nộp mô hình kinh doanh, bản kế hoạch chi tiết hoặc các biểu mẫu theo yêu cầu cụ thể của cuộc thi",Chương 7,approved,Source: glossary.md — Chương 7
fear of missing out (fomo),fear of missing out (FOMO),hội chứng sợ bị bỏ lỡ (fear of missing out FOMO),hội chứng sợ bị bỏ lỡ (fear of missing out FOMO),"need to keep up with peers and the personas they represent in social settings, particularly on social media","nhu cầu phải theo kịp bạn bè và hình ảnh mà họ thể hiện trong các bối cảnh xã hội, đặc biệt là trên mạng xã hội",Chương 7,approved,Source: glossary.md — Chương 7
iceberg principle,iceberg principle,nguyên tắc tảng băng trôi,nguyên tắc tảng băng trôi,"writing principle useful for preparing contest documents and pitch decks; following this principle, each word or sentence in the submission or presentation should be backed up with a wealth of supporting information and details that go unspoken in the pitch or proposal, but which you have at the ready should an investor take interest in the details and your knowledge of them","nguyên tắc viết hữu ích trong việc chuẩn bị tài liệu dự thi và pitch deck; theo nguyên tắc này, mỗi từ hoặc câu trong bài trình bày hoặc tài liệu phải được hỗ trợ bởi một lượng lớn thông tin và chi tiết nền tảng không được nói ra trong bài pitch hoặc đề xuất, nhưng bạn phải sẵn sàng cung cấp khi nhà đầu tư quan tâm đến chi tiết và kiến thức của bạn",Chương 7,approved,Source: glossary.md — Chương 7
noncompete agreement,noncompete agreement,thỏa thuận không cạnh tranh,thỏa thuận không cạnh tranh,formal agreement that the person signing the document will not work for another organization that is a direct competitor of their current employer during employment and usually for a specified length of time after employment ends,thỏa thuận chính thức rằng người ký văn bản sẽ không làm việc cho bất kỳ tổ chức nào là đối thủ cạnh tranh trực tiếp của người sử dụng lao động hiện tại trong thời gian làm việc và thường trong một khoảng thời gian xác định sau khi chấm dứt quan hệ lao động,"Chương 7, Chương 15",approved,"Source: glossary.md — Chương 7, Chương 15"
nondisclosure agreement (nda),nondisclosure agreement (NDA),thỏa thuận bảo mật (nondisclosure agreement NDA),thỏa thuận bảo mật (nondisclosure agreement NDA),contract that carries harsh financial penalties should one party to the agreement disclose what they know of the proprietary information,hợp đồng quy định các hình phạt tài chính nghiêm khắc nếu một bên trong thỏa thuận tiết lộ thông tin độc quyền mà họ biết,Chương 7,approved,Source: glossary.md — Chương 7
pitch,pitch,bài thuyết trình gọi vốn,bài thuyết trình gọi vốn,formal presentation in which you ask for something and that is delivered (usually) to potential investors in a startup,bài trình bày chính thức trong đó bạn đưa ra một yêu cầu và thường được trình bày trước các nhà đầu tư tiềm năng của một startup,Chương 7,approved,Source: glossary.md — Chương 7
pitch competition,pitch competition,cuộc thi gọi vốn,cuộc thi gọi vốn,"competition that may have cash prizes or mentorship opportunities for winners; you are expected to present your business idea in the form of a presentation, usually with a pitch deck","cuộc thi có thể có giải thưởng tiền mặt hoặc cơ hội cố vấn cho người chiến thắng; người tham gia được kỳ vọng trình bày ý tưởng kinh doanh dưới dạng bài thuyết trình, thường kèm theo pitch deck",Chương 7,approved,Source: glossary.md — Chương 7
pitch deck,pitch deck,bộ slide thuyết trình,bộ slide thuyết trình,slide presentation that you create that gives a quick overview of your product and what you’re asking for,bộ slide trình bày do bạn tạo ra nhằm cung cấp cái nhìn tổng quan nhanh về sản phẩm của bạn và những gì bạn đang kêu gọi,Chương 7,approved,Source: glossary.md — Chương 7
problem-solution narrative,problem-solution narrative,câu chuyện vấn đề – giải pháp,câu chuyện vấn đề – giải pháp,"brief story of a sentence or two that states a problem affecting many people and offering a solution that is innovative, unique, insightful, or all of these","câu chuyện ngắn (một hoặc hai câu) nêu ra một vấn đề ảnh hưởng đến nhiều người và đưa ra một giải pháp mang tính đổi mới, độc đáo, sâu sắc hoặc kết hợp các yếu tố này",Chương 7,approved,Source: glossary.md — Chương 7
user interface (ui),user interface (UI),giao diện người dùng (user interface UI),giao diện người dùng (user interface UI),"what a customer sees when they use your product; having a variant of a UI is not necessarily grounds for establishing a patent, but having unique design in the broad sense may help you to secure patent protection","những gì khách hàng nhìn thấy khi họ sử dụng sản phẩm của bạn; việc có một biến thể của giao diện người dùng không nhất thiết là cơ sở để đăng ký bằng sáng chế, nhưng việc có thiết kế độc đáo theo nghĩa rộng có thể giúp bạn đạt được sự bảo hộ sáng chế",Chương 7,approved,Source: glossary.md — Chương 7
work-for-hire agreement,work-for-hire agreement,Hợp đồng/thỏa thuận làm thuê,Hợp đồng/thỏa thuận làm thuê,"agreement between an individual employee and a company states that ownership of innovations belongs to the company, even if an individual makes substantial contributions to the product","thỏa thuận giữa một cá nhân (nhân viên) và một công ty quy định rằng quyền sở hữu đối với các sáng tạo thuộc về công ty, ngay cả khi cá nhân đó có đóng góp đáng kể vào sản phẩm",Chương 7,approved,Source: glossary.md — Chương 7
investor narrative,investor narrative,câu chuyện dành cho nhà đầu tư,câu chuyện dành cho nhà đầu tư,"a structured story that explains a business opportunity, focusing on value, growth potential, and returns for investors.","câu chuyện trình bày cơ hội kinh doanh, tập trung vào giá trị, tiềm năng tăng trưởng và lợi nhuận dành cho nhà đầu tư.",Chương 7 (bổ sung),approved,Source: glossary.md — Chương 7 (bổ sung)
value communication,value communication,truyền đạt giá trị,truyền đạt giá trị,the process of clearly conveying the benefits and value of a product or service to customers or stakeholders.,quá trình truyền tải rõ ràng các lợi ích và giá trị của sản phẩm hoặc dịch vụ đến khách hàng hoặc các bên liên quan.,Chương 7 (bổ sung),approved,Source: glossary.md — Chương 7 (bổ sung)
audience targeting,audience targeting,xác định đối tượng mục tiêu,xác định đối tượng mục tiêu,the process of identifying and focusing on a specific audience group for communication or marketing efforts.,quá trình xác định và tập trung vào một nhóm đối tượng cụ thể trong hoạt động truyền thông hoặc marketing.,Chương 7 (bổ sung),approved,Source: glossary.md — Chương 7 (bổ sung)
persuasive communication,persuasive communication,giao tiếp thuyết phục,giao tiếp thuyết phục,"communication aimed at influencing the attitudes, beliefs, or actions of others.","hình thức giao tiếp nhằm tác động đến suy nghĩ, niềm tin hoặc hành vi của người khác.",Chương 7 (bổ sung),approved,Source: glossary.md — Chương 7 (bổ sung)
advertising,advertising,quảng cáo,quảng cáo,"mass communication that allows companies to reach a broad audience through TV, radio, newspaper, Internet, magazines, and outdoor ads","hình thức truyền thông đại chúng cho phép các công ty tiếp cận một lượng lớn đối tượng khán giả thông qua truyền hình, radio, báo chí, Internet, tạp chí và quảng cáo ngoài trời",Chương 8,approved,Source: glossary.md — Chương 8
brand,brand,thương hiệu,thương hiệu,image a company promotes and the connotations it fosters of itself and its products,hình ảnh mà công ty quảng bá và những liên tưởng mà công ty tạo ra về bản thân và các sản phẩm của mình,Chương 8,approved,Source: glossary.md — Chương 8
brand advocate,brand advocate,đại sứ thương hiệu,đại sứ thương hiệu,someone who is a fan of your products and passes on the word to others,người yêu thích sản phẩm của bạn và truyền đạt thông tin đó đến những người khác,Chương 8,approved,Source: glossary.md — Chương 8
brand strategy,brand strategy,chiến lược thương hiệu,chiến lược thương hiệu,image a company conveys to its customers,hình ảnh mà công ty truyền tải tới khách hàng,Chương 8,approved,Source: glossary.md — Chương 8
bundling,bundling,gói sản phẩm,gói sản phẩm,bundle of products that is discounted to encourage customers to buy in bulk,việc gộp nhiều sản phẩm thành một gói được giảm giá nhằm khuyến khích khách hàng mua với số lượng lớn,Chương 8,approved,Source: glossary.md — Chương 8
causal research,causal research,nghiên cứu nhân quả,nghiên cứu nhân quả,identification of cause-and-effect relationships between two or more variables,việc xác định các mối quan hệ nhân quả giữa hai hoặc nhiều biến số,Chương 8,approved,Source: glossary.md — Chương 8
close,close,chốt bán hàng,chốt bán hàng,step in the sales process in which the salesperson asks for and gets the sale,bước trong quy trình bán hàng trong đó nhân viên bán hàng đề nghị và đạt được việc bán hàng,Chương 8,approved,Source: glossary.md — Chương 8
conjoint analysis,conjoint analysis,phân tích kết hợp,phân tích kết hợp,"survey tool in which respondents must rank, choose, or rate a number of “conjoint,” or linked, features or benefits","công cụ khảo sát trong đó người trả lời phải xếp hạng, lựa chọn hoặc đánh giá một số đặc điểm hoặc lợi ích “kết hợp” (liên kết)",Chương 8,approved,Source: glossary.md — Chương 8
cost-led pricing,cost-led pricing,định giá theo chi phí,định giá theo chi phí,easiest way to price a product by taking the cost of making the product and marking it up to create profit,cách định giá sản phẩm đơn giản nhất bằng cách lấy chi phí sản xuất sản phẩm và cộng thêm một mức để tạo ra lợi nhuận,Chương 8,approved,Source: glossary.md — Chương 8
customer-led pricing,customer-led pricing,định giá theo khách hàng,định giá theo khách hàng,pricing led by what the customer is willing to pay,việc định giá dựa trên mức giá mà khách hàng sẵn sàng chi trả,Chương 8,approved,Source: glossary.md — Chương 8
digital marketing,digital marketing,tiếp thị kỹ thuật số,tiếp thị kỹ thuật số,online marketing,hoạt động tiếp thị được thực hiện trên môi trường trực tuyến,Chương 8,approved,Source: glossary.md — Chương 8
direct mail,direct mail,thư trực tiếp,thư trực tiếp,connecting to consumers via email or through printed mailed pieces,việc kết nối với người tiêu dùng thông qua email hoặc các tài liệu in gửi qua đường bưu điện,Chương 8,approved,Source: glossary.md — Chương 8
entrepreneurial marketing,entrepreneurial marketing,tiếp thị khởi nghiệp,tiếp thị khởi nghiệp,set of unconventional practices that can help start-ups and younger firms survive in competitive markets,tập hợp các phương thức tiếp thị không truyền thống có thể giúp các doanh nghiệp khởi nghiệp và doanh nghiệp trẻ tồn tại trong các thị trường cạnh tranh,Chương 8,approved,Source: glossary.md — Chương 8
ethnographic research,ethnographic research,nghiên cứu dân tộc học,nghiên cứu dân tộc học,use of personal observation of the subject by being immersed in the subject’s environment,việc sử dụng quan sát trực tiếp cá nhân bằng cách hòa mình vào môi trường của đối tượng nghiên cứu,Chương 8,approved,Source: glossary.md — Chương 8
executive summary,executive summary,tóm tắt,tóm tắt,initial section of a business plan document that summarizes the key elements of the entire plan,"phần đầu của tài liệu kế hoạch kinh doanh, tóm tắt các yếu tố chính của toàn bộ kế hoạch",Chương 8,approved,Source: glossary.md — Chương 8
expeditionary marketing,expeditionary marketing,tiếp thị thăm dò,tiếp thị thăm dò,marketing designed to move established companies and their products into new markets and territories,hoạt động tiếp thị được thiết kế nhằm đưa các công ty đã ổn định và sản phẩm của họ vào các thị trường và khu vực mới,Chương 8,approved,Source: glossary.md — Chương 8
